study,dimension,proof,theta,se
study1,rigour,1,-3.5145835737216653,0.7060292416834681
study1,rigour,2,-0.2284013879046653,0.29425415593414883
study1,rigour,3,-2.787268994025115,0.5629981079474512
study1,rigour,4,0.23011595665245463,0.2921023163854297
study1,rigour,5,-0.31016110386489304,0.29598694652557683
study1,rigour,6,0.9004865813703556,0.3045410263390137
study1,rigour,7,0.8331518386357073,0.29841031522751443
study1,rigour,8,1.2333490105241949,0.30730334762397044
study1,rigour,9,1.0784507349166297,0.31782947968425457
study1,rigour,10,2.940255109414721,0.4630382674697842
study1,rigour,11,0.8828228351316235,0.30919682733467735
study1,rigour,12,-0.5765323571436326,0.3220853988394977
study1,rigour,13,-0.6816846499857149,0.3145697815385522
study1,insight,1,-1.3612657632179532,0.30809457320485106
study1,insight,2,0.9432173827180668,0.2814042217874097
study1,insight,3,-1.0155147784249703,0.28764194460313897
study1,insight,4,0.06661961528274024,0.2557163988558733
study1,insight,5,-0.13967257972470812,0.25655274824521834
study1,insight,6,0.34310981647244393,0.2586331873799599
study1,insight,7,0.33942572533976184,0.25912742199402905
study1,insight,8,0.30360801985747926,0.25640405127367955
study1,insight,9,0.49260171038476075,0.2607141016378276
study1,insight,10,1.6298341504400322,0.3366568525424026
study1,insight,11,-0.42561404240662337,0.26164597218649327
study1,insight,12,-0.26426438976746836,0.2532614884560079
study1,insight,13,-0.9120848669535614,0.2778515882623017
study2,rigour,1,-2.1250587048329717,0.3249771316829197
study2,rigour,2,-0.7412943787105604,0.25651645118464916
study2,rigour,3,-1.6352246247644269,0.29859916022205685
study2,rigour,4,0.3377308771585542,0.25357383781415804
study2,rigour,5,-0.6293556428477824,0.2568183739142482
study2,rigour,6,0.438403841391647,0.2373805754183944
study2,rigour,7,0.2234721062772916,0.2462328497895931
study2,rigour,8,0.5706945303868017,0.2508192091855355
study2,rigour,9,0.5591083404979323,0.23967909976803822
study2,rigour,10,2.856753307800646,0.5016041441064241
study2,rigour,11,0.8735723651665005,0.2517901276025948
study2,rigour,12,0.1909510817490082,0.2361877830461162
study2,rigour,13,-0.9262457895105134,0.269103377303904
study2,rigour,14,0.4491423550582498,0.24932564810384872
study2,rigour,15,-0.4426496648203766,0.2535074480485999
study2,insight,1,-0.627497851298949,0.2778899772375716
study2,insight,2,0.5274855759804182,0.2804147041294335
study2,insight,3,-1.0688975521709627,0.31261431994368444
study2,insight,4,0.2626888782976574,0.27188310498127116
study2,insight,5,0.3686876757155786,0.2718737713380359
study2,insight,6,-0.06403713393990794,0.26899656085809975
study2,insight,7,-0.0577629879389355,0.27266613197278877
study2,insight,8,0.28728826055160417,0.26961570255649187
study2,insight,9,0.1288039708542717,0.2679672006564259
study2,insight,10,1.1101924329763049,0.3088486713237941
study2,insight,11,0.14283054851565646,0.27262608151241674
study2,insight,12,-0.10935534763006852,0.2688042266207173
study2,insight,13,-0.6981329330597311,0.2849329400854069
study2,insight,14,0.05438129134260619,0.27264980632487623
study2,insight,15,-0.25667482819554277,0.276188846743683
study2,simple,1,0.3511673155333849,0.26240412233128835
study2,simple,2,1.1715720967126657,0.2993486687196679
study2,simple,3,-0.8004038578802354,0.2875692479822297
study2,simple,4,0.7351321392636061,0.2719587156492584
study2,simple,5,0.8606525178301405,0.2806345089013142
study2,simple,6,0.12308821436860588,0.26403038333745243
study2,simple,7,-0.16976802042685668,0.265469281794832
study2,simple,8,0.8901933875252104,0.2826231816463413
study2,simple,9,0.27294464072632973,0.2602352793485053
study2,simple,10,0.6719227679809446,0.26603379441099184
study2,simple,11,-1.3628911954936918,0.3242708191665942
study2,simple,12,-1.039296419891199,0.2958092672552911
study2,simple,13,-2.0078820255405634,0.36848273887716193
study2,simple,14,0.8952531091774772,0.2743993034718574
study2,simple,15,-0.5916846698858189,0.27065720036229063
study2,understanding,1,0.1567762019100424,0.23257360326066906
study2,understanding,2,0.44851296057786605,0.23737643969883368
study2,understanding,3,-1.2839017981662635,0.27825767600028073
study2,understanding,4,0.0975677855352318,0.23019558034267976
study2,understanding,5,0.3436504333658561,0.23234214600861983
study2,understanding,6,0.04311629381534996,0.23127844626982094
study2,understanding,7,-0.21571888507407974,0.23071018533553264
study2,understanding,8,0.38109554895824543,0.23281291367042217
study2,understanding,9,0.17010092208941804,0.22873495468484836
study2,understanding,10,1.1351510634085653,0.26193136315738547
study2,understanding,11,-0.5370184399755017,0.238145723777335
study2,understanding,12,-0.7107051910037397,0.24313542375273928
study2,understanding,13,-0.7029641973667653,0.2430577731443603
study2,understanding,14,0.6283072807122441,0.24211277494735498
study2,understanding,15,0.04603002121353081,0.23065887896335815
study2,marks,1,-1.8691603503884902,0.4098641491546209
study2,marks,2,-1.9992828015853639,0.43751786031087336
study2,marks,3,-2.3741106849787807,0.49546518173256343
study2,marks,4,-0.5753060555063126,0.35227418406410116
study2,marks,5,-0.24581520804729742,0.32508941262304986
study2,marks,6,1.476305707014024,0.3812734972455622
study2,marks,7,0.3287602428220584,0.33184928751736553
study2,marks,8,0.5314883559627906,0.3389055238346982
study2,marks,9,0.46788416828603396,0.32992137817398004
study2,marks,10,3.14983374226073,0.6894287020637515
study2,marks,11,0.4299107739350124,0.32942802238770313
study2,marks,12,0.4959884849535907,0.3059224429652039
study2,marks,13,-0.20054559055630605,0.32104532391598556
study2,marks,14,0.9518468368574563,0.3537726441527438
study2,marks,15,-0.5677976210291458,0.3327235595527527
